name,split,vel_loss,vel_loss.stderr,mode,data,vel_speed,vel_speed.stderr,vel_speedp,vel_speedp.stderr,vel_angle,vel_angle.stderr
vel/t10,bike,8.481544313868637,0.5441450673093302,decoder,10,5.0147979212107705,0.26571024139023003,0.23573515365208603,0.009857878894261993,22.25748583906441,1.8575445383610558
vel/t10,indoor,6.976425448872267,0.14397123404597492,decoder,10,4.211575780568339,0.1070151714884893,0.17665815484369532,0.004678796030789486,13.247324285125288,0.5511803968386542
vel/t10,outdoor,8.048933893707835,0.3489077372190063,decoder,10,4.79020923346899,0.19149045725829356,0.17945948125288322,0.007139994873590829,16.017523127886097,1.2989497971704242
vel/t100,all,7.589659185987851,0.2228308911204512,decoder,100,3.1823768701567072,0.07192843374774764,0.1385541253558048,0.002986916117172549,18.272689271565707,0.7759797918123253
vel/t100,bike,7.906553300314555,0.5900128272860854,decoder,100,3.0344887660087294,0.1649819563343962,0.15631081713295172,0.00679107168744036,21.57303006904871,1.8935924932303128
vel/t100,indoor,7.0585384282416195,0.2400623567280993,decoder,100,3.469072050631551,0.09455411341291967,0.14745268536027395,0.004168742054261573,15.61296688709468,0.8709433389128118
vel/t100,outdoor,7.674655696793141,0.4078301653312343,decoder,100,3.1171567248639693,0.13599732319802837,0.11787643601675232,0.005101776934115247,17.268114463527127,1.4015397453769591
vel/t20,all,7.2967241806112435,0.22513603789162875,decoder,20,2.6972061394219793,0.043354184465587475,0.1191836326971051,0.001960478829581193,16.931943880374256,0.7451757027529323
vel/t20,bike,7.005783410030841,0.5840429465503073,decoder,20,2.3213540965199644,0.09063711118469821,0.1287185451419062,0.00451133432174098,17.74746871619034,1.798964928988053
vel/t20,indoor,5.889657622129133,0.12852611158456193,decoder,20,3.128156847968203,0.0696240849037436,0.13214591729385652,0.0031371587125789773,11.635729055487323,0.46565983257898197
vel/t20,outdoor,8.465523516220525,0.5534917827423149,decoder,20,2.727341600639801,0.07564677550745397,0.10269460195646563,0.0028981832968392692,19.73648157189646,1.8409713604577504
vel/t50,all,6.207460428299448,0.17243439045773912,decoder,50,2.8790288262828483,0.047752397483278274,0.12545691880135926,0.0021337967703252813,13.567954690315375,0.6036839608431717
vel/t50,bike,7.398526073439483,0.5976796730257399,decoder,50,2.626953801144296,0.11858758899069503,0.13851683199764975,0.0052654732277696075,20.43984650948634,2.0245443776725374
vel/t50,indoor,5.735493438845789,0.12058369219260916,decoder,50,3.293302667062288,0.07161129363054904,0.13809231283680243,0.003189186652250361,10.788374741635929,0.4165097981307623
vel/t50,outdoor,5.523843052231619,0.23344540601640063,decoder,50,2.816819906313813,0.0791293939067268,0.10624062296109206,0.0030318240565030356,9.661016590871835,0.7701133422394716
