name,split,map_loss,map_loss.stderr,size,data,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
tiny/base,all,0.12935535930470568,0.0013702514678288747,t,100,4.153505548360963,0.03827513446579322,1.2470652837704304,0.012815296300180733
tiny/base,bike,0.11717344886978079,0.0015173316918676754,t,100,4.029560857252831,0.07880107702378648,1.1567166049204516,0.020887513552704576
tiny/base,indoor,0.1611002430099449,0.0031485979914924528,t,100,3.9651245582628105,0.05249248641839911,1.5067913460197155,0.020617356297034397
tiny/base,outdoor,0.1186335553694099,0.0015041189106275242,t,100,4.3809324367742235,0.0714663783994662,1.1515635279447989,0.02492701022690919
tiny/p10,all,0.16833731571953772,0.0007068027874375633,t,10,6.214608484573224,0.02248241774261515,1.846920628977911,0.00892528638682842
tiny/p10,bike,0.1428477724537419,0.0008394630092189629,t,10,6.256600773488764,0.04500208513551912,1.6759078354686756,0.012340086186604255
tiny/p10,indoor,0.22042731170952293,0.00157112569635335,t,10,5.693434390402678,0.033003890569822406,2.2381179598135406,0.016535902260524066
tiny/p10,outdoor,0.15533514407004942,0.0009267151097378639,t,10,6.5225249001698264,0.04273344848645418,1.732234364720552,0.01595748194337989
tiny/p20,all,0.15390500570410173,0.0008040020000814876,t,20,5.31071780385562,0.02440330770088624,1.5478546133025637,0.008789606405122864
tiny/p20,bike,0.13189313544473313,0.0011868009942221879,t,20,5.323683052897834,0.04797166219599635,1.3560681694251988,0.014413753605698047
tiny/p20,indoor,0.20124788939714497,0.001713950216899231,t,20,4.903039413419511,0.03329953937753307,1.913535939098391,0.014734711836196124
tiny/p20,outdoor,0.14112383710756415,0.0010674781050096316,t,20,5.568174733403712,0.04832175457388542,1.4672989244350607,0.016625008963123543
tiny/p50,all,0.14131437349246,0.0010408845886108933,t,50,4.739604111556425,0.031780569347795204,1.3599748513174288,0.01154997012008769
tiny/p50,bike,0.12362607690725924,0.0011142864142620343,t,50,4.794304341251512,0.0667002618667903,1.2529912260805014,0.017823817339177477
tiny/p50,indoor,0.1817107589524435,0.0024524934409247082,t,50,4.246960513926346,0.044760277454212176,1.6297446788105645,0.02049606428782225
tiny/p50,outdoor,0.12949554027344287,0.0012963195282368846,t,50,5.018137249277092,0.05810199996297983,1.271749399488992,0.020959807272915017
